ID,型号,品牌,所在地,类别,市场层级,价格状态,价格说明,官网,采购动作,核验备注,来源ID
robotnik-rb-theron,Robotnik RB-THERON,Robotnik,西班牙,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://robotnik.eu/products/mobile-robots/rb-theron/,索取教育/科研正式报价、交付周期、维保和培训条款,Robotnik 官方产品页确认 RB-THERON 自主移动机器人、全向底盘、室内外导航、ROS/ROS2 和可扩展传感器/载荷接口；价格需厂商正式报价。,SRC118;SRCV9017
robotnik-summit-xl,Robotnik SUMMIT-XL,Robotnik,西班牙,移动/复合机器人,重点候选,厂商正式报价项,厂商正式报价,https://robotnik.eu/products/mobile-robots/summit-xl/,索取教育/科研正式报价、交付周期、维保和培训条款,Robotnik 官方 SUMMIT-XL 产品页确认户外移动平台、ROS/ROS2 和可扩展传感器/载荷接口；价格需厂商正式报价。,SRC118;SRCV5008;SRCV13002
kepler-forerunner,Kepler Forerunner,开普勒机器人,上海,人形机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.keplerrobotics.com/,先确认是否仍可供货，再索取配置报价,Kepler 官网确认 Forerunner 人形机器人产品线；详细规格、开放接口、价格和交付需厂商确认。,SRC060;SRCV10002
xiaomi-cyberone,Xiaomi CyberOne,小米,北京,人形机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.mi.com/global/discover/article?id=2700,先确认是否仍可供货，再索取配置报价,小米官方文章确认 CyberOne 发布和人形机器人定位，但未提供面向采购的量产规格、售价和交付信息；保留市场覆盖项。,SRCV3031;SRCV8013
robotera-xhand1,RobotEra XHand1,星动纪元,北京,人形机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.robotera.com/,先确认是否仍可供货，再索取配置报价,RobotEra 官网确认人形/灵巧操作产品线；XHand1 具体采购规格、接口和交付需厂商确认。,SRC059;SRCV10003
ubtech-walker-x,UBTECH Walker X,优必选,深圳,人形机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.ubtrobot.com/,先确认是否仍可供货，再索取配置报价,优必选官网确认 Walker 系列人形机器人和商用/展示应用，但 Walker X 面向采购的规格、价格和 SDK 仍需正式报价。,SRC052;SRCV10004
figure-02,Figure 02,Figure AI,美国,人形机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.figure.ai/,先确认是否仍可供货，再索取配置报价,Figure 官网确认 Figure 02/03 产品线和商业部署方向，但开放采购、价格和 SDK 未公开；适合市场跟踪，不宜直接作为近期学校采购重点。,SRCV3010;SRCV4001;SRCV10009
neura-4ne1,NEURA 4NE-1,NEURA Robotics,德国,人形机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.neura-robotics.com/4ne1,先确认是否仍可供货，再索取配置报价,NEURA 官方页确认 4NE-1 人形机器人产品线；详细规格、开放采购和 SDK 需厂商确认。,SRCV3029;SRCV10010
sanctuary-phoenix,Sanctuary Phoenix,Sanctuary AI,加拿大,人形机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.sanctuary.ai/phoenix,先确认是否仍可供货，再索取配置报价,Sanctuary 官方 Phoenix 页面确认通用人形机器人和 Carbon AI 控制系统；公开采购规格、价格和 SDK 未完整披露。,SRCV3028;SRCV10012
tesla-optimus,Tesla Optimus,Tesla,美国,人形机器人,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.tesla.com/AI,先确认是否仍可供货，再索取配置报价,Tesla 官方 AI 页面确认 Optimus 项目，但暂无学校采购、价格、SDK 或正式规格入口；仅保留为市场趋势项。,SRCV3009;SRCV4001;SRCV10013
1x-neo,1X NEO,1X,挪威/美国,人形机器人,重点候选,供货状态待确认,价格不公开/需确认可供货,https://www.1x.tech/neo,先确认是否仍可供货，再索取配置报价,1X 官方 NEO 页面确认产品、订购/订阅口径和基础能力边界，但 SDK、科研开放接口和学校采购条款未公开。,SRCV3030;SRCV10001
galbot-g1,Galbot G1,银河通用,北京,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://www.galbot.com/g1,索取教育/科研正式报价、交付周期、维保和培训条款,Galbot G1 官方规格页确认 1730 mm 身高、双臂总 10 kg 负载、0-2.4 m 操作覆盖、10 h 续航、IP54 和 AGX Orin 计算平台；价格需厂商正式报价。,SRC058;SRCV8016
unitree-g1-edu,Unitree G1 EDU,宇树科技,杭州,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://www.unitree.com/g1/,索取教育/科研正式报价、交付周期、维保和培训条款,宇树官方产品资料确认型号、基础参数和 SDK/开发生态；部分科研/商业配置仍需正式询价。,SRC001;SRCV4001;SRCV6004
unitree-h1-2,Unitree H1-2,宇树科技,杭州,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://www.unitree.com/cn/h1/,索取教育/科研正式报价、交付周期、维保和培训条款,宇树 H1 官方页披露 H1-2 系列自由度、重量、电池和运动性能；教育/科研配置与价格需厂商正式报价。,SRC005;SRCV6004;SRCV13003
agibot-a2-w,AgiBot A2-W,智元机器人,上海,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://www.agibot.com/,索取教育/科研正式报价、交付周期、维保和培训条款,智元官网确认 A2/A2-W 相关产品线和人形机器人方向；详细参数、价格、SDK 和交付需厂商确认。,SRC051;SRCV10005
engineai-sa01,EngineAI SA01,众擎机器人,深圳,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://www.engineai.com.cn/product-sa01.html,索取教育/科研正式报价、交付周期、维保和培训条款,EngineAI SA01 官方页确认全开源双足平台、12 自由度、15Ah 快拆电池、2 h 级续航和教育/开发定位；价格和交付需正式报价。,SRC053;SRCV8014
engineai-se01,EngineAI SE01,众擎机器人,深圳,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://www.engineai.com.cn/product-se01,索取教育/科研正式报价、交付周期、维保和培训条款,EngineAI SE01 官方页确认全尺寸人形、拟人步态、视听感知、灵巧手、快拆电池和接口定位；精确采购参数和报价需正式报价。,SRC053;SRCV8015
agility-digit,Agility Robotics Digit,Agility Robotics,美国,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://agilityrobotics.com/robots,索取教育/科研正式报价、交付周期、维保和培训条款,Agility 官方机器人页确认 Digit 面向物流搬运和企业部署，具备箱体搬运定位和 Agility Arc 系统；价格与开放 SDK 需厂商确认。,SRCV3012;SRCV4001;SRCV10006
apptronik-apollo,Apptronik Apollo,Apptronik,美国,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://apptronik.com/apollo,索取教育/科研正式报价、交付周期、维保和培训条款,Apptronik 官方 Apollo 页面确认通用人形机器人、模块化电池和工业任务定位；价格、开放 SDK 和学校采购需正式报价。,SRCV3011;SRCV4001;SRCV10007
booster-a1,Booster A1,Booster Robotics,深圳,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://www.boosterobotics.com/,索取教育/科研正式报价、交付周期、维保和培训条款,Booster Robotics 官网确认 A1 开发者/科研教育人形平台定位；具体接口、价格和交付需按版本确认。,SRC056;SRCV10008
boston-atlas-electric,Boston Dynamics Atlas,Boston Dynamics,美国,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://bostondynamics.com/atlas/,索取教育/科研正式报价、交付周期、维保和培训条款,Boston Dynamics 官方 Atlas 页面确认电动 Atlas 项目入口，但未披露采购型规格、SDK、价格和供货参数；保留为趋势观察项。,SRCV3027;SRCV6005;SRCV13004
pal-talos,PAL Robotics TALOS,PAL Robotics,西班牙,人形机器人,重点候选,厂商正式报价项,厂商正式报价,https://pal-robotics.com/robots/talos/,索取教育/科研正式报价、交付周期、维保和培训条款,PAL 官方资料确认机器人系列、科研平台定位和 ROS 生态；负载/价格按具体配置询价。,SRC064;SRCV6003
unitree-laikago,Unitree Laikago,宇树科技,杭州,机器狗,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.unitree.com/,先确认是否仍可供货，再索取配置报价,宇树官网当前主推 Go2/B2/A2 等新款，Laikago 作为早期历史平台需确认存量和支持状态；建议仅作历史/市场覆盖项。,SRC002;SRCV10016
limx-p1,LimX Dynamics P1,逐际动力,深圳,机器狗,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.limxdynamics.com/en,先确认是否仍可供货，再索取配置报价,LimX 官网和历史资料可确认 W1/P1 属于逐际动力早期足式/轮足产品线；当前官网未公开可采购规格页，采购前需由厂商确认是否仍供货、正式参数和开发接口。,SRC017;SRCV8009;SRCV11001
ghost-spur,Ghost Robotics Spirit,Ghost Robotics,美国,机器狗,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.ghostrobotics.io/,先确认是否仍可供货，再索取配置报价,Ghost 官方当前公开产品以 Vision 60 为主；Spirit/SPUR 作为旧款或历史别名缺少当前官方规格页，采购前应以 Vision 60 当前规格或厂商正式确认为准。,SRCV4008;SRCV8011;SRCV11002
rainbow-robotics-rbq,Rainbow Robotics RBQ,Rainbow Robotics,韩国,机器狗,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.rainbow-robotics.com/,先确认是否仍可供货，再索取配置报价,Rainbow 官方入口确认机器人产品线；RBQ/RBQ-10 公开规格和学校采购口径不足，需厂商确认参数、SDK 和交付。,SRCV3007;SRCV10014
rainbow-rbq-10,Rainbow Robotics RBQ-10,Rainbow Robotics,韩国,机器狗,市场初筛,供货状态待确认,价格不公开/需确认可供货,https://www.rainbow-robotics.com/,先确认是否仍可供货，再索取配置报价,Rainbow 官方入口确认机器人产品线；RBQ/RBQ-10 公开规格和学校采购口径不足，需厂商确认参数、SDK 和交付。,SRCV3007;SRCV10014
deeprobotics-x20,DEEPRobotics 绝影 X20,云深处科技,杭州,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.deeprobotics.cn/robot/index/product3.html,索取教育/科研正式报价、交付周期、维保和培训条款,已记录官网或产品入口；核心参数、价格或发布时间仍需继续核验。,SRC013;SRC015;SRC094;SRC095;SRC123;SRC124;SRC201;SRC202;SRC737;SRC503;SRC504;SRC1028;SRC1029;SRC1030;SRC1031;SRC454;SRC466;SRC475;SRC528;SRC529;SRC530;SRC531;SRC532;SRC533;SRC1017;SRC1018;SRC1019;SRC1020;SRC301;SRC302;SRC303;SRC304;SRC305;SRC306;SRC307;SRC308;SRC309;SRC310;SRC311;SRC317;SRC318;SRC319;SRC320;SRC321;SRC322;SRC323;SRC324;SRC335;SRC300;SRC130;SRC131;SRC132;SRC151;SRC164;SRC165;SRC166;SRC172;SRC1084;SRC1085;SRC1086;SRC1092;SRC1093;SRC1094;SRC077;SRC184;SRC1140;SRC1141;SRC1142;SRC1158;SRC1159;SRC1160;SRC1161;SRC1164;SRC1169;SRC1170;SRC1177;SRC1204;SRC1205;SRC1206;SRC1211;SRC1218;SRC1220;SRC1249;SRC1250;SRC1251;SRC1252;SRC1282;SRC1283;SRC1284;SRC1285;SRC1286;SRC1287;SRC1288;SRC1289;SRC1468;SRC1469;SRC1470;SRC1471;SRC1475;SRC1476;SRC1477;SRC1478;SRC1479;SRC1480;SRC1481;SRC1482;SRC1485;SRC1486;SRC1488;SRC1490;SRC1491;SRC1492;SRC1493;SRC1494;SRC1495;SRC1496;SRC1497;SRC1498;SRC1499;SRC1500;SRC1501;SRC1502;SRC1503;SRC1504;SRC1505;SRC1507;SRC1512;SRC1513;SRC1514;SRC1515;SRC1516;SRC1519;SRC1521;SRC1527;SRC598;SRC599;SRC600;SRC601;SRC602;SRC603;SRC604;SRC605;SRC606;SRC607;SRC608;SRC609;SRC610;SRC611;SRC612;SRC366;SRC367;SRC368;SRC369;SRC370;SRC371;SRC372;SRC373;SRC384;SRC385;SRC386;SRC387;SRC422;SRC423;SRC424;SRC634;SRC635;SRC636;SRC637;SRC638;SRC639;SRC640;SRC641;SRC642;SRC654;SRC655;SRC697;SRC698;SRC699;SRC700;SRC701;SRC702;SRC683;SRC684;SRC685;SRC686;SRC687;SRC688;SRC689;SRC690;SRC691;SRC692;SRC693;SRC694;SRC695;SRC411;SRC412;SRC413;SRC414;SRC415;SRC383;SRC396;SRC397;SRC398;SRC399;SRC401;SRC402;SRC403;SRC404;SRC405;SRC406;SRC407;SRC408;SRC428;SRC429;SRC430;SRC431;SRC432;SRC656;SRC657;SRC658;SRC749;SRC750;SRC751;SRC752;SRC753;SRC754;SRC755;SRC756;SRC757;SRC768;SRC769;SRC770;SRC772;SRC773;SRC774;SRC775;SRC779;SRC780;SRC781;SRC795;SRC796;SRC799;SRC777;SRC783;SRC790;SRC791;SRC785;SRC786;SRC818;SRC792;SRC793;SRC794;SRC814;SRC815;SRC816;SRC817;SRC819;SRC820;SRC821;SRC822;SRC823;SRC824;SRC825;SRC826;SRC827;SRC828;SRC829;SRC830;SRC831;SRC832;SRC833;SRC834;SRC835;SRC836;SRC837;SRC838;SRC839;SRC840;SRC841;SRC842;SRC843;SRC844;SRC845;SRC846;SRC847;SRC848;SRC849;SRC850;SRC851;SRC852;SRC853;SRC874;SRC875;SRC876;SRC877;SRC878;SRC879;SRC884;SRC885;SRC886;SRC887;SRC895;SRC896;SRC897;SRC900;SRC901;SRC902;SRC903;SRC905;SRC906;SRC907;SRC908;SRC909;SRC910;SRC904;SRC911;SRC912;SRC919;SRC924;SRC925;SRC926;SRC927;SRC928;SRC929;SRC930;SRC931;SRC932;SRC933;SRC934;SRC935;SRC936;SRC937;SRC938;SRC939;SRC940;SRC941;SRC942;SRC943;SRC944;SRC945;SRC946;SRC947;SRC948;SRC949;SRC950;SRC951;SRC952;SRC953;SRC954;SRC955;SRC956;SRC957;SRC958;SRC959;SRC960;SRC961;SRC962;SRC963;SRC964;SRC965;SRC966;SRC967;SRC968;SRC969;SRC970;SRC971;SRC972;SRC973;SRC974;SRC975;SRC976;SRC977;SRC978;SRC979;SRC980;SRC981;SRC982;SRC983;SRC984;SRC985;SRC987;SRC990;SRC991;SRC992;SRC998;SRC986;SRC993;SRC994;SRC995;SRC996;SRC997;SRC988;SRC989;SRC999;SRC1002;SRC1003;SRC1000;SRC1001;SRC1004;SRC1005;SRC1006;SRC1007;SRC1008;SRC1023;SRC1024;SRC1026;SRC1042;SRC1043;SRC1053;SRC1060;SRC1061;SRC1062;SRC1063;SRC1058;SRC1059;SRC1114;SRC1115;SRC1116;SRC1117;SRC1120;SRC1118;SRC1119;SRC1121;SRC1122;SRC1123;SRC1124;SRC1130;SRC1131;SRC440;SRC441;SRC442;SRC443;SRC445;SRC447;SRC448;SRC388;SRC389;SRC392;SRC393;SRC394;SRC395;SRC382;SRC390;SRC391;SRC345;SRC346;SRC347;SRC348;SRC349;SRC350;SRC1321;SRC1322;SRC1323;SRC1324;SRC1325;SRC1326;SRC1327;SRC1341;SRC1342;SRC1343;SRC1344;SRC1340;SRC1345;SRC1346;SRC1347;SRC1348;SRC1349;SRC1350;SRC1351;SRC1368;SRC1369;SRC1370;SRC1371;SRC1373;SRC1374;SRC1375;SRC1376;SRC1359;SRC1361;SRC1378;SRC1379;SRC1380;SRC1381;SRC1382;SRC1383;SRC1386;SRC1387;SRC1388;SRC1389;SRC1390;SRC1391;SRC1395;SRC1396;SRC1398;SRC1399;SRC1400;SRC1401;SRC1402;SRC1403;SRC1404;SRC1405;SRC1406;SRC1407;SRC1408;SRC1409;SRC1410;SRC1411;SRC1412;SRC1413;SRC1414;SRC1415;SRC1426;SRC1429;SRC1430;SRC1431;SRC1432;SRC1433;SRC1434;SRC1435;SRC1436;SRC1437;SRC1438;SRC1439;SRC1440;SRC1441;SRC1442;SRC1443;SRC1444;SRC1445;SRC1446;SRC1447;SRC1299;SRC1301;SRC1308;SRC1310;SRC1311;SRC365;SRC361;SRC362;SRC363;SRC364;SRC711;SRC712;SRC713;SRC727;SRC728;SRC729;SRC730;SRC731
xiaomi-cyberdog,Xiaomi CyberDog,小米,北京,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.mi.com/cyberdog/specs,索取教育/科研正式报价、交付周期、维保和培训条款,小米官方参数页确认 CyberDog 工程探索版入口；公开资料显示为早期开发者探索机型，当前采购可得性需渠道确认。,SRC016;SRCV8012
unitree-b1,Unitree B1,宇树科技,杭州,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.unitree.com/,索取教育/科研正式报价、交付周期、维保和培训条款,宇树官方产品资料确认型号、基础参数和 SDK/开发生态；部分科研/商业配置仍需正式询价。,SRC006;SRCV4001;SRCV6004
unitree-b2-w,Unitree B2-W,宇树科技,杭州,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.unitree.com/b2-w/,索取教育/科研正式报价、交付周期、维保和培训条款,宇树官方产品资料确认型号、基础参数和 SDK/开发生态；部分科研/商业配置仍需正式询价。,SRC006;SRCV4001;SRCV6004
unitree-go2-edu,Unitree Go2 EDU,宇树科技,杭州,机器狗,重点候选,厂商正式报价项,Go2 EDU 需正式报价,https://www.unitree.com/go2/,索取教育/科研正式报价、交付周期、维保和培训条款,宇树官方产品资料确认型号、基础参数和 SDK/开发生态；部分科研/商业配置仍需正式询价。,SRC002;SRCV6004;SRCV12003
deeprobotics-lite3-motion,DEEPRobotics Lite3 Motion,云深处科技,杭州,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.deeprobotics.cn/robot/index/product2.html,索取教育/科研正式报价、交付周期、维保和培训条款,云深处 Lite3 官方产品页确认 Lite3 Motion/Pro 形态、教育/开发平台定位和开发接口入口；详细配置需按 SKU 确认。,SRC011;SRCV7003
deeprobotics-lite3-pro,DEEPRobotics Lite3 Pro,云深处科技,杭州,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.deeprobotics.cn/robot/index/product2.html,索取教育/科研正式报价、交付周期、维保和培训条款,云深处 Lite3 官方产品页确认 Lite3 Motion/Pro 形态、教育/开发平台定位和开发接口入口；详细配置需按 SKU 确认。,SRC011;SRCV7003
limx-ollie,LimX Dynamics OLI,逐际动力,深圳,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://limxdynamics.com/en/oli/spec,索取教育/科研正式报价、交付周期、维保和培训条款,LimX Oli 官方规格页确认 31 自由度、约 55 kg、约 2 h 续航、单臂 3 kg 负载、传感器/API/开发工具；价格按版本询价。,SRC017;SRCV8010
anybotics-anymal-c,ANYbotics ANYmal C,ANYbotics,瑞士,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.anybotics.com/anymal-autonomous-legged-robot/,索取教育/科研正式报价、交付周期、维保和培训条款,ANYbotics 官方技术规格确认 ANYmal 系列工业巡检四足平台、企业载荷和 API/集成接口定位；价格和交付需正式报价。,SRCV3003;SRCV4001;SRCV7002
anybotics-anymal-d,ANYbotics ANYmal D,ANYbotics,瑞士,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.anybotics.com/anymal-autonomous-legged-robot/,索取教育/科研正式报价、交付周期、维保和培训条款,ANYbotics 官方技术规格确认 ANYmal 系列工业巡检四足平台、企业载荷和 API/集成接口定位；价格和交付需正式报价。,SRCV3003;SRCV4001;SRCV7002
anybotics-anymal-x,ANYbotics ANYmal X,ANYbotics,瑞士,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.anybotics.com/anymal-x/,索取教育/科研正式报价、交付周期、维保和培训条款,ANYbotics 官方技术规格确认 ANYmal 系列工业巡检四足平台、企业载荷和 API/集成接口定位；价格和交付需正式报价。,SRCV3004;SRCV4001;SRCV7002
ghost-vision-60,Ghost Robotics Vision 60,Ghost Robotics,美国,机器狗,重点候选,厂商正式报价项,厂商正式报价,https://www.ghostrobotics.io/vision-60,索取教育/科研正式报价、交付周期、维保和培训条款,Ghost Robotics Vision 60 官方规格页确认 10 kg 载荷、3 h 级连续行走、IP67、NVIDIA Xavier 和 Mission Control/开放架构口径；价格需厂商正式报价。,SRCV3006;SRCV8011
